age_group,last_id,n
0,0,79480
0,1,391
0,2,2867
0,3,1918
0,4,815
0,5,287
0,6,9
10,0,52586
10,1,1217
10,2,27256
10,3,28571
10,4,11576
10,5,3599
10,6,366
10,7,309
20,0,47080
20,1,1391
20,2,33339
20,3,51457
20,4,16919
20,5,4573
20,6,1009
20,7,552
30,0,33628
30,1,980
30,2,27751
30,3,43081
30,4,15672
30,5,5891
30,6,1530
30,7,990
40,0,30259
40,1,997
40,2,33700
40,3,61772
40,4,33701
40,5,12828
40,6,3758
40,7,2688
50,0,25803
50,1,705
50,2,23776
50,3,60104
50,4,50565
50,5,25121
50,6,8372
50,7,6060
60,0,14778
60,1,357
60,2,9077
60,3,23839
60,4,27807
60,5,30073
60,6,22187
60,7,26243
70,0,12138
70,1,407
70,2,5636
70,3,11490
70,4,15967
70,5,23658
70,6,19160
70,7,77812
80,0,8961
80,1,611
80,2,5611
80,3,8077
80,4,11063
80,5,15912
80,6,13724
80,7,55965
90,0,9459
90,1,749
90,2,9677
90,3,10753
90,4,8495
90,5,6575
90,6,5219
90,7,13755
